t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
1.0700000000000007, 74.88412536524605, 53.73178872672446, -2.887241203203352, -58.70841810445497, -80.17294616402667, -58.93333333333331, -80.0, -80.17174081759181, 0.0, 1.6541865096747628, -16.474083298357918, 0.0, 0.3399103733247408, 0.6165698208061273, -0.22491522887833781, 89.82518816095516, 60.48138439327018, -80.0
1.0800000000000007, 75.65834505442854, 53.939923344427, -2.870699338106604, -59.51013551263089, -80.17174081759181, -59.733333333333306, -80.0, -80.17054382773478, 0.0, 1.6869550500975796, -16.471713960088977, 0.0, 0.34659913382204166, 0.6097772200055953, -0.223197820702417, 90.45727192055654, 60.98292291232259, -80.0
1.0900000000000007, 76.42896797949497, 54.160958804923965, -2.8538297876056284, -60.311840950908234, -80.17054382773478, -60.5333333333333, -80.0, -80.16935513653863, 0.0, 1.717739302496452, -16.46731672329309, 0.0, 0.3528350339613188, 0.6006867287695438, -0.22149238242506897, 91.0775961332613, 61.49503099177502, -80.0
1.1000000000000008, 77.19570493190619, 54.39507670872753, -2.8366523945806636, -61.11353450227362, -80.16935513653863, -61.3333333333333, -80.0, -80.16817468648783, 0.0, 1.7465971936317197, -16.461098640571063, 0.0, 0.3586324473789253, 0.5895573957881034, -0.219798831059677, 91.68618097753634, 62.01754578146348, -80.0
1.1100000000000008, 77.95826020182184, 54.64243625552905, -2.8191864226443464, -61.9152162491385, -80.16817468648783, -62.1333333333333, -80.0, -80.16700242046545, 0.0, 1.7735878099892552, -16.453256549000304, 0.0, 0.3640063164253135, 0.5766333902867907, -0.21811708419479459, 92.28303745982205, 62.55031075312428, -80.0
1.1200000000000008, 78.71633244051336, 54.90317455744729, -2.801450544544454, -62.71688627334316, -80.16700242046545, -62.933333333333294, -80.0, -80.1658382817504, 0.0, 1.798771133408246, -16.443977075321392, 0.0, 0.3689720199464148, 0.5621443433927837, -0.2164470599901378, 92.86816713800012, 63.093174483347795, -80.0
1.1300000000000008, 79.46961552567463, 55.17740699262967, -2.7834628332103715, -63.518544656160664, -80.1658382817504, -63.73333333333329, -80.0, -80.1646822140147, 0.0, 1.8222078215841726, -16.433436686430724, 0.0, 0.3735452575683912, 0.5463057123123115, -0.21478867717262773, 93.44156197083217, 63.64598948727453, -80.0
1.1400000000000008, 80.2177994235375, 55.46522759755287, -2.76524075499453, -64.32019147830081, -80.1646822140147, -64.53333333333329, -80.0, -80.16353416132083, 0.0, 1.8439590233879795, -16.421801780654906, 0.0, 0.37774194826278196, 0.5293191636425393, -0.2131418550324753, 94.00320428190855, 64.20861110778964, -80.0
1.1500000000000008, 80.96057104209038, 55.76670949629205, -2.74680116476065, -65.12182681991402, -80.16353416132083, -65.33333333333329, -80.0, -80.16239406811883, 0.0, 1.8640862207337145, -16.40922881570582, 0.0, 0.38157814126947326, 0.5113729726781215, -0.21150651341926618, 94.55306682714112, 64.78089646401298, -80.0
1.1600000000000008, 81.69761507010172, 56.08190536489903, -2.728160302553313, -65.9234507605952, -80.16239406811883, -66.13333333333328, -80.0, -80.1612618792438, 0.0, 1.8826510902538194, -16.395864469555825, 0.0, 0.3850699377183298, 0.49264243601269, -0.2098825727380813, 95.09111295533222, 65.3627034620223, -80.0
1.1700000000000008, 82.42861479706593, 56.410847928866126, -2.7093337916507747, -66.72506337938763, -80.1612618792438, -66.93333333333328, -80.0, -80.16013753991315, 0.0, 1.8997153793450914, -16.38184583075817, 0.0, 0.3882334215214631, 0.47329029509320436, -0.20826995394564563, 95.61729685184844, 65.95388986997696, -80.0
1.1800000000000008, 83.15325290961616, 56.75355049146943, -2.6903366378573237, -67.52666475478676, -80.16013753991315, -67.73333333333328, -80.0, -80.15902099572398, 0.0, 1.9153407922650156, -16.36730061497269, 0.0, 0.3910845983110717, 0.45346716867306314, -0.20666857854651255, 96.13156385591947, 66.55431245912048, -80.0
1.1900000000000008, 83.87121226038644, 57.110007490594704, -2.6711832299346736, -68.328254964744, -80.15902099572398, -68.53333333333327, -80.0, -80.15791219265041, 0.0, 1.9295888829136203, -16.352347404658218, 0.0, 0.39363934137574724, 0.4333119923396327, -0.20507836858926964, 96.63385084256674, 67.16382621152006, -80.0
1.2000000000000008, 84.58217660575194, 57.480195081462654, -2.6518873411055375, -69.12983408667051, -80.15791219265041, -69.33333333333327, -80.0, -80.15681107704098, 0.0, 1.9425209517527282, -16.337095909067454, 0.0, 0.39591334370395254, 0.41295246347403886, -0.20349924666275854, 97.12408666064425, 67.78228359484773, -80.0
1.2100000000000009, 85.28583130932874, 57.86407174249642, -2.63246213158801, -69.93140219744092, -80.15681107704098, -70.13333333333327, -80.0, -80.15571759561614, 0.0, 1.9541979450117302, -16.321647241836136, 0.0, 0.39792207537977287, 0.39250549014323444, -0.20193113589235168, 97.60219261894281, 68.40953390400924, -80.0
1.2200000000000009, 85.98186400857094, 58.26157890141963, -2.612920152137893, -70.73295937339708, -80.15571759561614, -70.93333333333327, -80.0, -80.1546316954655, 0.0, 1.9646803549197953, -16.306094213600833, 0.0, 0.39968074569476514, 0.37207764253629483, -0.20037395993618645, 98.0680830127705, 69.04542266898291, -80.0
1.2300000000000009, 86.669965242259, 58.672641578545175, -2.5932733485886947, -71.53450569035174, -80.1546316954655, -71.73333333333326, -80.0, -80.15355332404542, 0.0, 1.9740281202025534, -16.290521637211075, 0.0, 0.401204269442858, 0.35176560564246845, -0.19882764298152722, 98.52166568387513, 69.6897911278322, -80.0
1.2400000000000009, 87.34982903712628, 59.097169044116114, -2.5735330673866694, -72.33604122359219, -80.15355332404542, -72.53333333333326, -80.0, -80.15248242917639, 0.0, 1.9823005264949627, -16.275006643230345, 0.0, 0.4025072369541585, 0.3316566319375918, -0.19729210974107048, 98.96284260702083, 70.34247576350343, -80.0
1.2500000000000009, 88.02115345231616, 59.53505548649478, -2.55371006212172, -73.13756604788395, -80.15248242917639, -73.33333333333326, -80.0, -80.15141895904058, 0.0, 1.9895561066624285, -16.259619003542415, 0.0, 0.40360388749990395, 0.3118289928983038, -0.19576728544930688, 99.39151049696952, 71.00330790270644, -80.0
